    1 0  1   0 0
    2 0  1   0 0
    3 0  1   0 0
    4 0  1   0 0
    5 0  1   0 0
    6 0  1   0 0
    7 0  1   0 0
    8 0  1   0 0
    9 0  1   0 0
   10 0  1   0 0
   11 0  1   0 0
   12 0  1   0 0
   13 0  1   0 0
   14 0  1   0 0
   15 0  1   0 0
   16 0  1   0 0
   17 0  1   0 0
   18 0  1   0 0
   19 0  1   0 0
   20 0  1   0 0
   21 0  1   0 0
   22 0  1   0 0
   23 0  1   0 0
   24 0  1   0 0
   25 0  1   0 0
   26 1  1   0 0
   27 1  1   0 0
   28 1  1   0 0
   29 1  1   0 0
   30 1  1   0 0
   31 1  1   0 0
   32 1  1   0 0
   33 1  1   0 0
   34 1  1   0 0
   35 1  1   0 0
   36 1  1   0 0
   37 1  1   0 0
   38 1  1   0 0
   39 1  1   0 0
   40 1  1   0 0
   41 1  1   0 0
   42 1  1   0 0
   43 1  1   0 0
   44 1  1   0 0
   45 1  1   0 0
   46 1  1   0 0
   47 1  1   0 0
   48 1  1   0 0
   49 1  1   0 0
   50 1  1   0 0
    1 0  2   3 0
    2 0  2   8 1
    3 0  2   5 0
    4 0  2   6 1
    5 0  2   4 1
    6 0  2   4 0
    7 0  2   3 0
    8 0  2   6 1
    9 0  2   8 0
   10 0  2   6 0
   11 0  2   7 0
   12 0  2   9 0
   13 0  2   6 0
   14 0  2   7 0
   15 0  2   5 0
   16 0  2   8 0
   18 0  2   4 0
   19 0  2   8 0
   20 0  2   5 0
   21 0  2   3 1
   22 0  2   6 0
   23 0  2   3 0
   24 0  2   6 0
   25 0  2   9 1
   26 1  2   6 0
   27 1  2   2 0
   28 1  2   9 0
   29 1  2   8 0
   31 1  2   4 0
   32 1  2   3 0
   33 1  2   6 0
   34 1  2   5 0
   35 1  2   6 0
   37 1  2   6 0
   38 1  2   6 0
   39 1  2   7 0
   40 1  2   5 1
   41 1  2   3 1
   42 1  2   7 1
   43 1  2   6 0
   45 1  2   9 0
   47 1  2  11 0
   49 1  2   8 0
   50 1  2   6 0
    1 0  3   9 1
    2 0  3   3 1
    3 0  3   5 0
    4 0  3   7 1
    5 0  3   3 1
    6 0  3   4 0
    9 0  3   7 0
   10 0  3   3 0
   11 0  3   8 0
   12 0  3   5 0
   14 0  3   7 1
   15 0  3   8 0
   16 0  3   3 0
   18 0  3   3 0
   19 0  3   4 1
   20 0  3   4 0
   21 0  3   3 1
   23 0  3   5 1
   25 0  3   8 1
   26 1  3   7 0
   27 1  3   7 1
   28 1  3   3 1
   29 1  3   6 1
   31 1  3   5 0
   32 1  3   3 0
   35 1  3   6 1
   37 1  3  10 0
   39 1  3   7 0
   40 1  3   3 1
   41 1  3   6 1
   43 1  3   6 0
   45 1  3   1 0
   47 1  3   6 0
   49 1  3   3 1
   50 1  3   8 0
    3 0  4   9 0
    5 0  4   4 1
    6 0  4   7 0
    9 0  4   6 0
   12 0  4   8 1
   14 0  4   7 1
   16 0  4   5 0
   18 0  4   5 0
   20 0  4   6 0
   28 1  4   9 1
   29 1  4   9 1
   31 1  4   6 0
   35 1  4   5 1
   37 1  4  10 0
   43 1  4   5 0
   45 1  4   6 0
   47 1  4   7 0
   49 1  4   2 1
    5 0  5   9 1
    6 0  5   2 0
   12 0  5   5 1
   14 0  5   3 1
   29 1  5   5 1
   43 1  5   3 0
   47 1  5   5 0
